"","rownames.merged.gut...RNA....counts."
"10257","LINC02163"
"10258","AC099520.1"
"10259","AC099520.2"
"10260","AC091987.1"
"10261","LINC01950"
"10262","EFNA5"
"10263","AC024587.2"
"10264","FBXL17"
"10265","AC008462.1"
"10266","LINC01023"
"10267","FER"
"10268","AC008871.1"
"10269","AC116428.1"
"10270","AC008467.1"
"10271","PJA2"
"10272","AC091917.3"
"10273","AC091917.2"
"10274","AC091917.1"
"10275","AC012603.1"
"10276","MAN2A1"
"10277","LINC01848"
"10278","TMEM232"
"10279","SLC25A46"
"10280","AC010395.1"
"10281","TSLP"
"10282","AC008572.1"
"10283","WDR36"
"10284","CAMK4"
"10285","AC010468.2"
"10286","AC010275.1"
"10287","STARD4"
"10288","STARD4-AS1"
"10289","NREP"
"10290","NREP-AS1"
"10291","EPB41L4A"
"10292","EPB41L4A-AS1"
"10293","AC010261.1"
"10294","AC010261.2"
"10295","AC104126.1"
"10296","EPB41L4A-DT"
"10297","LINC02200"
"10298","APC"
"10299","SRP19"
"10300","REEP5"
"10301","DCP2"
"10302","MCC"
"10303","AC079465.1"
"10304","TSSK1B"
"10305","YTHDC2"
"10306","AC093240.1"
"10307","KCNN2"
"10308","AC010230.1"
"10309","LINC01957"
"10310","AC094104.2"
"10311","AC094104.1"
"10312","TRIM36"
"10313","TRIM36-IT1"
"10314","AC008494.2"
"10315","PGGT1B"
"10316","AC008494.3"
"10317","CCDC112"
"10318","FEM1C"
"10319","TICAM2"
"10320","AC010226.1"
"10321","TMED7"
"10322","AC008549.2"
"10323","AC008549.1"
"10324","CDO1"
"10325","ATG12"
"10326","AP3S1"
"10327","LINCADL"
"10328","LVRN"
"10329","ARL14EPL"
"10330","AC034236.3"
"10331","AC034236.2"
"10332","COMMD10"
"10333","AC018752.1"
"10334","SEMA6A"
"10335","SEMA6A-AS1"
"10336","SEMA6A-AS2"
"10337","LINC02214"
"10338","AC010267.1"
"10339","AC093534.2"
"10340","AC093295.1"
"10341","LINC00992"
"10342","LINC02147"
"10343","LINC02208"
"10344","LINC02148"
"10345","LINC02216"
"10346","AC114311.1"
"10347","LINC02215"
"10348","AC093206.1"
"10349","DTWD2"
"10350","AC008629.1"
"10351","DMXL1"
"10352","TNFAIP8"
"10353","HSD17B4"
"10354","FAM170A"
"10355","AC008574.1"
"10356","AC113418.1"
"10357","PRR16"
"10358","AC114284.1"
"10359","AC008568.1"
"10360","FTMT"
"10361","SRFBP1"
"10362","LOX"
"10363","AC010255.1"
"10364","ZNF474"
"10365","AC010255.3"
"10366","AC010255.2"
"10367","AC113349.2"
"10368","SNCAIP"
"10369","AC113349.1"
"10370","AC119150.1"
"10371","AC022101.1"
"10372","LINC02201"
"10373","SNX2"
"10374","AC008669.1"
"10375","SNX24"
"10376","PPIC"
"10377","AC106786.2"
"10378","AC106786.1"
"10379","PRDM6"
"10380","CEP120"
"10381","CSNK1G3"
"10382","LINC01170"
"10383","AC016556.1"
"10384","AC025465.2"
"10385","AC025465.4"
"10386","AC025465.3"
"10387","AC025465.1"
"10388","ZNF608"
"10389","AC112196.1"
"10390","AC113398.2"
"10391","LINC02240"
"10392","AC109464.1"
"10393","AC109464.2"
"10394","AC109458.2"
"10395","AC116362.1"
"10396","AC109471.1"
"10397","AC116362.2"
"10398","LINC02039"
"10399","GRAMD2B"
"10400","AC093535.1"
"10401","ALDH7A1"
"10402","PHAX"
"10403","TEX43"
"10404","LMNB1-DT"
"10405","LMNB1"
"10406","MARCH3"
"10407","C5orf63"
"10408","AC011416.3"
"10409","AC011416.4"
"10410","MEGF10"
"10411","AC010424.2"
"10412","PRRC1"
"10413","AC010424.3"
"10414","CTXN3"
"10415","AC022118.1"
"10416","CCDC192"
"10417","AC068658.1"
"10418","LINC01184"
"10419","SLC12A2"
"10420","FBN2"
"10421","SLC27A6"
"10422","AC008588.1"
"10423","ISOC1"
"10424","AC008679.1"
"10425","ADAMTS19-AS1"
"10426","ADAMTS19"
"10427","AC008591.1"
"10428","MINAR2"
"10429","CHSY3"
"10430","AC006525.1"
"10431","HINT1"
"10432","LYRM7"
"10433","CDC42SE2"
"10434","RAPGEF6"
"10435","FNIP1"
"10436","MEIKIN"
"10437","AC034228.3"
"10438","ACSL6"
"10439","AC034228.1"
"10440","AC034228.2"
"10441","IL3"
"10442","CSF2"
"10443","AC063976.1"
"10444","P4HA2-AS1"
"10445","P4HA2"
"10446","PDLIM4"
"10447","SLC22A4"
"10448","MIR3936HG"
"10449","SLC22A5"
"10450","C5orf56"
"10451","AC116366.2"
"10452","AC116366.1"
"10453","IRF1"
"10454","IL5"
"10455","RAD50"
"10456","TH2LCRR"
"10457","IL13"
"10458","IL4"
"10459","AC004039.1"
"10460","KIF3A"
"10461","CCNI2"
"10462","SEPTIN8"
"10463","SOWAHA"
"10464","AC004775.1"
"10465","SHROOM1"
"10466","GDF9"
"10467","UQCRQ"
"10468","LEAP2"
"10469","AFF4"
"10470","AC010240.3"
"10471","ZCCHC10"
"10472","AC113410.5"
"10473","AC113410.4"
"10474","HSPA4"
"10475","AC113410.2"
"10476","AC010307.2"
"10477","FSTL4"
"10478","AC010307.3"
"10479","AC010307.4"
"10480","AC010608.1"
"10481","WSPAR"
"10482","C5orf15"
"10483","VDAC1"
"10484","AC008608.2"
"10485","TCF7"
"10486","SKP1"
"10487","PPP2CA"
"10488","AC104109.2"
"10489","CDKL3"
"10490","UBE2B"
"10491","AC109454.2"
"10492","CDKN2AIPNL"
"10493","AC109454.3"
"10494","AC005355.1"
"10495","LINC01843"
"10496","JADE2"
"10497","SAR1B"
"10498","SEC24A"
"10499","CAMLG"
"10500","DDX46"
"10501","C5orf24"
"10502","TXNDC15"
"10503","PCBD2"
"10504","CATSPER3"
"10505","PITX1"
"10506","C5orf66"
"10507","AC008406.3"
"10508","C5orf66-AS1"
"10509","AC008406.2"
"10510","AC008406.1"
"10511","C5orf66-AS2"
"10512","H2AFY"
"10513","AC026691.1"
"10514","DCANP1"
"10515","TIFAB"
"10516","AC022092.1"
"10517","NEUROG1"
"10518","AC034206.1"
"10519","CXCL14"
"10520","SLC25A48"
"10521","SLC25A48-AS1"
"10522","AC114296.1"
"10523","IL9"
"10524","AC002428.2"
"10525","AC002428.1"
"10526","LECT2"
"10527","TGFBI"
"10528","SMAD5-AS1"
"10529","SMAD5"
"10530","SMIM32"
"10531","TRPC7"
"10532","TRPC7-AS1"
"10533","TRPC7-AS2"
"10534","AC063980.1"
"10535","AC112178.1"
"10536","AC109439.2"
"10537","SPOCK1"
"10538","KLHL3"
"10539","HNRNPA0"
"10540","AC106791.2"
"10541","AC106791.1"
"10542","MYOT"
"10543","PKD2L2"
"10544","FAM13B"
"10545","AC113382.1"
"10546","AC113382.2"
"10547","WNT8A"
"10548","NME5"
"10549","BRD8"
"10550","KIF20A"
"10551","CDC23"
"10552","GFRA3"
"10553","CDC25C"
"10554","FAM53C"
"10555","AC104116.1"
"10556","KDM3B"
"10557","REEP2"
"10558","EGR1"
"10559","ETF1"
"10560","HSPA9"
"10561","CTNNA1"
"10562","AC034243.1"
"10563","LRRTM2"
"10564","SIL1"
"10565","AC011405.1"
"10566","MATR3"
"10567","SNHG4"
"10568","MATR3.1"
"10569","PAIP2"
"10570","AC135457.1"
"10571","SLC23A1"
"10572","MZB1"
"10573","PROB1"
"10574","SPATA24"
"10575","DNAJC18"
"10576","ECSCR"
"10577","SMIM33"
"10578","TMEM173"
"10579","AC010378.2"
"10580","UBE2D2"
"10581","AC113361.1"
"10582","CXXC5"
"10583","CXXC5-AS1"
"10584","AC008667.1"
"10585","PSD2-AS1"
"10586","AC008667.3"
"10587","AC008667.4"
"10588","PSD2"
"10589","NRG2"
"10590","AC008667.2"
"10591","MALINC1"
"10592","PURA"
"10593","IGIP"
"10594","AC011379.2"
"10595","CYSTM1"
"10596","AC011379.1"
"10597","PFDN1"
"10598","HBEGF"
"10599","AC008438.2"
"10600","SLC4A9"
"10601","AC008438.1"
"10602","ANKHD1"
"10603","SRA1"
"10604","EIF4EBP3"
"10605","APBB3"
"10606","SLC35A4"
"10607","CD14"
"10608","NDUFA2"
"10609","TMCO6"
"10610","IK"
"10611","WDR55"
"10612","DND1"
"10613","HARS"
"10614","HARS2"
"10615","ZMAT2"
"10616","AC005609.5"
"10617","PCDHA1"
"10618","PCDHA2"
"10619","PCDHA3"
"10620","PCDHA4"
"10621","PCDHA5"
"10622","PCDHA6"
"10623","PCDHA7"
"10624","PCDHA8"
"10625","PCDHA9"
"10626","AC005609.2"
"10627","PCDHA10"
"10628","AC005609.4"
"10629","PCDHA11"
"10630","PCDHA12"
"10631","AC005609.3"
"10632","AC005609.1"
"10633","PCDHA13"
"10634","PCDHAC1"
"10635","AC010223.1"
"10636","PCDHAC2"
"10637","AC244517.5"
"10638","PCDHB1"
"10639","AC244517.9"
"10640","PCDHB2"
"10641","AC244517.2"
"10642","PCDHB3"
"10643","AC244517.1"
"10644","PCDHB4"
"10645","PCDHB5"
"10646","AC244517.11"
"10647","PCDHB6"
"10648","AC244517.12"
"10649","PCDHB7"
"10650","PCDHB8"
"10651","PCDHB16"
"10652","AC244517.4"
"10653","PCDHB9"
"10654","AC244517.7"
"10655","PCDHB10"
"10656","PCDHB11"
"10657","PCDHB12"
"10658","PCDHB13"
"10659","PCDHB14"
"10660","PCDHB15"
"10661","TAF7"
"10662","SLC25A2"
"10663","AC005618.4"
"10664","AC005618.1"
"10665","PCDHGA1"
"10666","PCDHGA2"
"10667","PCDHGA3"
"10668","PCDHGB1"
"10669","AC005618.3"
"10670","PCDHGA4"
"10671","PCDHGB2"
"10672","PCDHGA5"
"10673","PCDHGB3"
"10674","PCDHGA6"
"10675","PCDHGA7"
"10676","PCDHGB4"
"10677","PCDHGA8"
"10678","PCDHGB5"
"10679","PCDHGA9"
"10680","PCDHGB6"
"10681","PCDHGA10"
"10682","PCDHGB7"
"10683","PCDHGA11"
"10684","AC005618.2"
"10685","PCDHGA12"
"10686","AC008781.3"
"10687","PCDHGC3"
"10688","PCDHGC4"
"10689","PCDHGC5"
"10690","DIAPH1"
"10691","AC008781.2"
"10692","AC008781.1"
"10693","HDAC3"
"10694","RELL2"
"10695","FCHSD1"
"10696","ARAP3"
"10697","AC005753.2"
"10698","AC005753.3"
"10699","AC005753.1"
"10700","PCDH1"
"10701","AC005740.5"
"10702","DELE1"
"10703","PCDH12"
"10704","AC005740.4"
"10705","RNF14"
"10706","AC005740.3"
"10707","GNPDA1"
"10708","NDFIP1"
"10709","SPRY4"
"10710","SPRY4-AS1"
"10711","FGF1"
"10712","AC005592.1"
"10713","LINC01844"
"10714","AC005592.2"
"10715","ARHGAP26"
"10716","ARHGAP26-AS1"
"10717","ARHGAP26-IT1"
"10718","NR3C1"
"10719","AC016598.1"
"10720","AC016598.2"
"10721","AC008696.2"
"10722","HMHB1"
"10723","YIPF5"
"10724","KCTD16"
"10725","AC008652.1"
"10726","AC109441.1"
"10727","AC132803.1"
"10728","AC137770.1"
"10729","AC008700.1"
"10730","PRELID2"
"10731","GRXCR2"
"10732","SH3RF2"
"10733","PLAC8L1"
"10734","AC091887.1"
"10735","LARS"
"10736","RBM27"
"10737","AC011396.2"
"10738","POU4F3"
"10739","AC011396.3"
"10740","AC011396.1"
"10741","TCERG1"
"10742","GPR151"
"10743","AC008728.1"
"10744","PPP2R2B"
"10745","PPP2R2B-IT1"
"10746","AC010251.1"
"10747","STK32A-AS1"
"10748","STK32A"
"10749","DPYSL3"
"10750","AC011373.1"
"10751","JAKMIP2-AS1"
"10752","JAKMIP2"
"10753","AC011370.1"
"10754","SPINK1"
"10755","SCGB3A2"
"10756","C5orf46"
"10757","AC011352.1"
"10758","AC011352.3"
"10759","SPINK5"
"10760","AC011346.1"
"10761","SPINK14"
"10762","SPINK6"
"10763","MARCOL"
"10764","SPINK13"
"10765","SPINK7"
"10766","SPINK9"
"10767","FBXO38"
"10768","AC114939.1"
"10769","HTR4"
"10770","AC008627.1"
"10771","ADRB2"
"10772","SH3TC2"
"10773","AC116312.1"
"10774","SH3TC2-DT"
"10775","ABLIM3"
"10776","AC012613.1"
"10777","AC012613.2"
"10778","AFAP1L1"
"10779","AC131025.3"
"10780","GRPEL2"
"10781","GRPEL2-AS1"
"10782","PCYOX1L"
"10783","IL17B"
"10784","AC131025.1"
"10785","CARMN"
"10786","AC131025.2"
"10787","CSNK1A1"
"10788","ARHGEF37"
"10789","AC022100.1"
"10790","PPARGC1B"
"10791","PDE6A"
"10792","SLC26A2"
"10793","TIGD6"
"10794","HMGXB3"
"10795","CSF1R"
"10796","PDGFRB"
"10797","CDX1"
"10798","SLC6A7"
"10799","CAMK2A"
"10800","ARSI"
"10801","TCOF1"
"10802","CD74"
"10803","AC011388.1"
"10804","RPS14"
"10805","NDST1-AS1"
"10806","NDST1"
"10807","SYNPO"
"10808","AC011383.1"
"10809","AC008453.2"
"10810","MYOZ3"
"10811","AC008453.1"
"10812","RBM22"
"10813","DCTN4"
"10814","SMIM3"
"10815","IRGM"
"10816","ZNF300"
"10817","GPX3"
"10818","TNIP1"
"10819","ANXA6"
"10820","AC008641.1"
"10821","CCDC69"
"10822","GM2A"
"10823","SLC36A3"
"10824","SLC36A2"
"10825","SLC36A1"
"10826","FAT2"
"10827","AC011337.1"
"10828","AC011374.3"
"10829","AC011374.1"
"10830","SPARC"
"10831","CLMAT3"
"10832","AC011374.2"
"10833","ATOX1"
"10834","AC091982.1"
"10835","AC091982.3"
"10836","G3BP1"
"10837","GLRA1"
"10838","LINC01933"
"10839","AC008571.2"
"10840","NMUR2"
"10841","LINC01470"
"10842","GRIA1"
"10843","LINC01861"
"10844","AC091962.1"
"10845","FAM114A2"
"10846","MFAP3"
"10847","GALNT10"
"10848","SAP30L-AS1"
"10849","AC008625.1"
"10850","SAP30L"
"10851","HAND1"
"10852","AC026688.2"
"10853","LARP1"
"10854","FAXDC2"
"10855","CNOT8"
"10856","GEMIN5"
"10857","MRPL22"
"10858","KIF4B"
"10859","AC010476.2"
"10860","SGCD"
"10861","AC011351.1"
"10862","AC025434.1"
"10863","PPP1R2B"
"10864","TIMD4"
"10865","HAVCR1"
"10866","HAVCR2"
"10867","AC011377.1"
"10868","MED7"
"10869","ITK"
"10870","FAM71B"
"10871","AC010609.1"
"10872","AC009185.1"
"10873","CYFIP2"
"10874","FNDC9"
"10875","AC016571.1"
"10876","AC008676.1"
"10877","ADAM19"
"10878","NIPAL4"
"10879","AC106801.1"
"10880","SOX30"
"10881","C5orf52"
"10882","THG1L"
"10883","LSM11"
"10884","CLINT1"
"10885","AC025437.5"
"10886","AC025437.4"
"10887","AC025437.3"
"10888","AC025437.2"
"10889","AC025437.1"
"10890","LINC02227"
"10891","AC091979.1"
"10892","AC091979.2"
"10893","AC091939.1"
"10894","EBF1"
"10895","AC136424.2"
"10896","AC136424.1"
"10897","LINC02202"
"10898","RNF145"
"10899","AC134043.2"
"10900","LINC01932"
"10901","UBLCP1"
"10902","AC008691.1"
"10903","IL12B"
"10904","LINC01845"
"10905","AC008703.1"
"10906","LINC01847"
"10907","ADRA1B"
"10908","TTC1"
"10909","PWWP2A"
"10910","FABP6"
"10911","AC008609.1"
"10912","CCNJL"
"10913","C1QTNF2"
"10914","ZBED8"
"10915","SLU7"
"10916","PTTG1"
"10917","MIR3142HG"
"10918","ATP10B"
"10919","AC008456.1"
"10920","AC011363.1"
"10921","LINC02159"
"10922","GABRB2"
"10923","GABRA6"
"10924","AC091944.1"
"10925","GABRA1"
"10926","LINC01202"
"10927","GABRG2"
"10928","AC113414.1"
"10929","CCNG1"
"10930","NUDCD2"
"10931","HMMR"
"10932","HMMR-AS1"
"10933","MAT2B"
"10934","AC010291.1"
"10935","AC008662.1"
"10936","AC008662.2"
"10937","AC109466.1"
"10938","LINC02143"
"10939","AC091973.1"
"10940","LINC01938"
"10941","AC008415.1"
"10942","AC114321.1"
"10943","LINC01947"
"10944","AC091819.2"
"10945","AC091819.1"
"10946","TENM2"
"10947","AC091820.2"
"10948","AC091820.1"
"10949","AC008601.1"
"10950","AC008708.2"
"10951","AC008708.1"
"10952","AC008464.1"
"10953","AC008705.2"
"10954","AC011369.1"
"10955","AC026689.1"
"10956","WWC1"
"10957","RARS"
"10958","FBLL1"
"10959","PANK3"
"10960","AC011365.2"
"10961","SLIT3"
"10962","AC011365.1"
"10963","AC011389.2"
"10964","AC011389.1"
"10965","SPDL1"
"10966","DOCK2"
"10967","AC008680.1"
"10968","INSYN2B"
"10969","FOXI1"
"10970","LINC01187"
"10971","C5orf58"
"10972","LCP2"
"10973","LINC01366"
"10974","AC034199.1"
"10975","KCNIP1"
"10976","KCNMB1"
"10977","AC027306.1"
"10978","AC008619.1"
"10979","AC027312.1"
"10980","AC008514.1"
"10981","GABRP"
"10982","RANBP17"
"10983","AC091980.2"
"10984","TLX3"
"10985","NPM1"
"10986","FGF18"
"10987","AC022440.1"
"10988","AC011410.1"
"10989","SMIM23"
"10990","FBXW11"
"10991","STK10"
"10992","EFCAB9"
"10993","UBTD2"
"10994","SH3PXD2B"
"10995","AC011407.1"
"10996","LINC01944"
"10997","NEURL1B"
"10998","AC027309.1"
"10999","AC022217.2"
"11000","AC022217.3"
"11001","DUSP1"
"11002","AC110011.1"
"11003","ERGIC1"
"11004","AC008429.1"
"11005","AC008429.3"
"11006","RPL26L1"
"11007","ATP6V0E1"
"11008","CREBRF"
"11009","AC008378.1"
"11010","BNIP1"
"11011","NKX2-5"
"11012","STC2"
"11013","AC016573.1"
"11014","AC008632.1"
"11015","AC008663.1"
"11016","AC008663.3"
"11017","AC008663.2"
"11018","BOD1"
"11019","LINC01863"
"11020","LINC01942"
"11021","LINC01484"
"11022","AC008674.1"
"11023","LINC01485"
"11024","CPEB4"
"11025","C5orf47"
"11026","NSG2"
"11027","AC113423.1"
"11028","AC113423.2"
"11029","AC011333.1"
"11030","AC025752.1"
"11031","LINC01411"
"11032","AC108112.1"
"11033","MSX2"
"11034","AC113346.2"
"11035","AC113346.1"
"11036","LINC01951"
"11037","AC008413.2"
"11038","DRD1"
"11039","AC091393.2"
"11040","SFXN1"
"11041","HRH2"
"11042","CPLX2"
"11043","AC138965.2"
"11044","THOC3"
"11045","AC138965.1"
"11046","AC139491.3"
"11047","AC139491.1"
"11048","FAM153B"
"11049","AC139491.4"
"11050","AC139491.8"
"11051","AC139493.2"
"11052","SIMC1"
"11053","KIAA1191"
"11054","AC138956.1"
"11055","AC138956.2"
"11056","ARL10"
"11057","NOP16"
"11058","HIGD2A"
"11059","CLTB"
"11060","FAF2"
"11061","RNF44"
"11062","CDHR2"
"11063","GPRIN1"
"11064","SNCB"
"11065","EIF4E1B"
"11066","TSPAN17"
"11067","AC113391.1"
"11068","AC113391.2"
"11069","LINC01574"
"11070","UNC5A"
"11071","HK3"
"11072","UIMC1"
"11073","ZNF346"
"11074","ZNF346-IT1"
"11075","FGFR4"
"11076","NSD1"
"11077","AC146507.3"
"11078","RAB24"
"11079","MXD3"
"11080","PRELID1"
"11081","LMAN2"
"11082","RGS14"
"11083","SLC34A1"
"11084","PFN3"
"11085","F12"
"11086","GRK6"
"11087","PRR7-AS1"
"11088","PRR7"
"11089","DBN1"
"11090","PDLIM7"
"11091","AC145098.1"
"11092","DOK3"
"11093","DDX41"
"11094","FAM193B"
"11095","AC139795.3"
"11096","TMED9"
"11097","B4GALT7"
"11098","AC139795.2"
"11099","AC138819.1"
"11100","FAM153A"
"11101","AC140125.2"
"11102","AC140125.1"
"11103","AC140125.3"
"11104","AC106795.3"
"11105","AC106795.2"
"11106","AC106795.5"
"11107","PROP1"
"11108","FAM153CP"
"11109","N4BP3"
"11110","RMND5B"
"11111","NHP2"
"11112","GMCL2"
"11113","HNRNPAB"
"11114","PHYKPL"
"11115","COL23A1"
"11116","AC136601.1"
"11117","AC008659.1"
"11118","CLK4"
"11119","AC113348.3"
"11120","AC113348.1"
"11121","ZNF354A"
"11122","ZNF354B"
"11123","ZFP2"
"11124","AC104117.5"
"11125","ZNF454"
"11126","AC104117.3"
"11127","GRM6"
"11128","ZNF879"
"11129","ZNF354C"
"11130","ADAMTS2"
"11131","AC109479.3"
"11132","AC109479.1"
"11133","AC136628.1"
"11134","AC136628.4"
"11135","RUFY1"
"11136","AC136604.2"
"11137","HNRNPH1"
"11138","C5orf60"
"11139","AC136604.3"
"11140","CBY3"
"11141","CANX"
"11142","MAML1"
"11143","LTC4S"
"11144","MGAT4B"
"11145","SQSTM1"
"11146","MRNIP"
"11147","AC008393.1"
"11148","TBC1D9B"
"11149","RNF130"
"11150","AC010285.1"
"11151","AC010285.3"
"11152","RASGEF1C"
"11153","MAPK9"
"11154","AC008610.1"
"11155","GFPT2"
"11156","AC034213.1"
"11157","CNOT6"
"11158","SCGB3A1"
"11159","FLT4"
"11160","LINC02222"
"11161","OR2Y1"
"11162","MGAT1"
"11163","HEIH"
"11164","LINC00847"
"11165","AC022413.2"
"11166","ZFP62"
"11167","BTNL8"
"11168","BTNL3"
"11169","BTNL9"
"11170","OR2V1"
"11171","OR2V2"
"11172","LINC01962"
"11173","AC008443.5"
"11174","TRIM7"
"11175","AC008443.6"
"11176","AC008443.4"
"11177","AC008443.9"
"11178","TRIM41"
"11179","AC008443.2"
"11180","RACK1"
"11181","AC008443.1"
"11182","TRIM52"
"11183","TRIM52-AS1"
"11184","AC008443.8"
"11185","AC008443.3"
"11186","AC138035.1"
"11187","AC138035.2"
"11188","OR4F3"
"11189","AL035696.3"
"11190","AL035696.4"
"11191","AL035696.1"
"11192","AL365272.1"
"11193","DUSP22"
"11194","IRF4"
"11195","AL512308.1"
"11196","EXOC2"
"11197","AL031770.1"
"11198","HUS1B"
"11199","AL357054.2"
"11200","AL357054.4"
"11201","AL357054.5"
"11202","AL357054.3"
"11203","AL392183.1"
"11204","AL356130.1"
"11205","LINC01622"
"11206","AL033381.2"
"11207","AL033381.1"
"11208","AL033381.3"
"11209","FOXQ1"
"11210","LINC01394"
"11211","AL034346.1"
"11212","FOXF2"
"11213","AL512329.2"
"11214","FOXCUT"
"11215","FOXC1"
"11216","GMDS"
"11217","AL035693.1"
"11218","GMDS-DT"
"11219","AL031768.2"
"11220","AL031768.1"
"11221","AL359852.2"
"11222","LINC02521"
"11223","LINC01600"
"11224","MYLK4"
"11225","WRNIP1"
"11226","SERPINB1"
"11227","SERPINB9P1"
"11228","SERPINB9"
"11229","AL133351.2"
"11230","SERPINB6"
"11231","LINC01011"
"11232","NQO2"
"11233","AL133351.1"
"11234","AL031963.2"
"11235","RIPK1"
"11236","AL031963.3"
"11237","BPHL"
"11238","AL031963.1"
"11239","TUBB2A"
"11240","LINC02525"
"11241","TUBB2B"
"11242","PSMG4"
"11243","SLC22A23"
"11244","AL445309.1"
"11245","AL033523.1"
"11246","PXDC1"
"11247","AL391422.4"
"11248","AL391422.3"
"11249","AL391422.2"
"11250","FAM50B"
"11251","AL590004.3"
"11252","AL138831.2"
"11253","AL138831.1"
"11254","PRPF4B"
"11255","FAM217A"
"11256","C6orf201"
"11257","ECI2"
"11258","AL136309.4"
"11259","AL136309.2"
"11260","AL136309.3"
"11261","AL162718.1"
"11262","AL159166.1"
"11263","AL162718.3"
"11264","AL162718.2"
"11265","LINC02533"
"11266","AL034376.2"
"11267","AL034376.1"
"11268","CDYL"
"11269","AL356747.1"
"11270","AL022725.1"
"11271","RPP40"
"11272","AL359643.3"
"11273","AL359643.2"
"11274","PPP1R3G"
"11275","LYRM4"
"11276","FARS2"
"11277","AL021328.1"
"11278","AL022097.1"
"11279","AL136307.1"
"11280","NRN1"
"11281","F13A1"
"11282","LY86-AS1"
"11283","AL162719.1"
"11284","LY86"
"11285","AL031123.2"
"11286","AL031123.1"
"11287","AL031123.4"
"11288","AL031123.5"
"11289","AL136361.1"
"11290","AL158817.1"
"11291","AL139390.1"
"11292","RREB1"
"11293","AL355336.1"
"11294","AL139095.5"
"11295","SSR1"
"11296","AL139095.4"
"11297","CAGE1"
"11298","RIOK1"
"11299","AL031058.1"
"11300","DSP"
"11301","SNRNP48"
"11302","BMP6"
"11303","TXNDC5"
"11304","BLOC1S5"
"11305","EEF1E1"
"11306","AL355499.1"
"11307","AL359378.1"
"11308","SLC35B3"
"11309","HULC"
"11310","AL137220.1"
"11311","TFAP2A"
"11312","TFAP2A-AS2"
"11313","TFAP2A-AS1"
"11314","AL138885.2"
"11315","AL138885.3"
"11316","LINC00518"
"11317","MIR5689HG"
"11318","LINC02522"
"11319","GCNT2"
"11320","AL139039.3"
"11321","AL358777.1"
"11322","C6orf52"
"11323","PAK1IP1"
"11324","TMEM14C"
"11325","AL024498.1"
"11326","TMEM14B"
"11327","MAK"
"11328","GCM2"
"11329","AL357497.1"
"11330","SYCP2L"
"11331","ELOVL2"
"11332","ELOVL2-AS1"
"11333","SMIM13"
"11334","ERVFRD-1"
"11335","AL139807.1"
"11336","NEDD9"
"11337","AL022098.1"
"11338","AL445430.2"
"11339","AL445430.1"
"11340","TMEM170B"
"11341","AL357518.1"
"11342","ADTRP"
"11343","AL022724.3"
"11344","AL022724.2"
"11345","AL157373.1"
"11346","AL157373.2"
"11347","HIVEP1"
"11348","EDN1"
"11349","LINC02530"
"11350","PHACTR1"
"11351","AL008729.1"
"11352","TBC1D7"
"11353","AL008729.2"
"11354","GFOD1"
"11355","GFOD1-AS1"
"11356","SIRT5"
"11357","AL441883.1"
"11358","NOL7"
"11359","RANBP9"
"11360","Z93020.1"
"11361","MCUR1"
"11362","AL023583.1"
"11363","RNF182"
"11364","AL022396.1"
"11365","CD83"
"11366","AL133259.1"
"11367","AL353152.2"
"11368","AL353152.1"
"11369","LINC01108"
"11370","AL080313.2"
"11371","AL080313.1"
"11372","AL009177.1"
"11373","AL109914.1"
"11374","AL138720.1"
"11375","AL136162.1"
"11376","JARID2"
"11377","JARID2-AS1"
"11378","DTNBP1"
"11379","AL021978.1"
"11380","LINC02543"
"11381","MYLIP"
"11382","GMPR"
"11383","AL009031.1"
"11384","ATXN1"
"11385","AL137003.1"
"11386","AL137003.2"
"11387","AL133405.2"
"11388","AL133405.1"
"11389","AL138740.1"
"11390","STMND1"
"11391","AL136305.1"
"11392","RBM24"
"11393","CAP2"
"11394","AL138824.1"
"11395","FAM8A1"
"11396","NUP153"
"11397","AL138724.1"
"11398","KIF13A"
"11399","NHLRC1"
"11400","TPMT"
"11401","KDM1B"
"11402","DEK"
"11403","RNF144B"
"11404","MIR548A1HG"
"11405","AL357052.1"
"11406","AL022068.1"
"11407","ID4"
"11408","AL022726.1"
"11409","MBOAT1"
"11410","AL158198.1"
"11411","AL158198.2"
"11412","AL132775.1"
"11413","AL132775.2"
"11414","E2F3"
"11415","E2F3-IT1"
"11416","CDKAL1"
"11417","AL513188.1"
"11418","AL451080.1"
"11419","AL031767.1"
"11420","AL031767.2"
"11421","LINC00581"
"11422","AL512380.1"
"11423","AL512380.2"
"11424","SOX4"
"11425","CASC15"
"11426","NBAT1"
"11427","PRL"
"11428","HDGFL1"
"11429","AL033539.1"
"11430","AL033539.2"
"11431","AL035401.1"
"11432","AL139231.1"
"11433","NRSN1"
"11434","DCDC2"
"11435","KAAG1"
"11436","MRS2"
"11437","GPLD1"
"11438","ALDH5A1"
"11439","KIAA0319"
"11440","TDP2"
"11441","ACOT13"
"11442","AL031775.1"
"11443","C6orf62"
"11444","AL031775.2"
"11445","LINC02828"
"11446","GMNN"
"11447","ARMH2"
"11448","RIPOR2"
"11449","AL160400.1"
"11450","AL133268.3"
"11451","AL133268.2"
"11452","AL133268.4"
"11453","CARMIL1"
"11454","AL022170.1"
"11455","SCGN"
"11456","HIST1H2AA"
"11457","HIST1H2BA"
"11458","SLC17A4"
"11459","SLC17A1"
"11460","SLC17A3"
"11461","SLC17A2"
"11462","TRIM38"
